Feature ID	taxonomy	Consensus
73b7ec85a04f7c308aeedd714d9d3ef4	D_0__Archaea; D_1__Crenarchaeota; D_2__Bathyarchaeia	1
e0b5c329d4836dcc861d201b2f2a46b7	D_0__Archaea; D_1__Crenarchaeota; D_2__Bathyarchaeia	1
c2b466c54f77e61cc74897acbad8e7e4	D_0__Archaea; D_1__Crenarchaeota; D_2__Bathyarchaeia	1
af2d37cebf78fdd0e23bdb935096426e	D_0__Archaea; D_1__Crenarchaeota; D_2__Bathyarchaeia; D_3__uncultured archaeon; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon	1
c36310c7cfaf9fbc5b56fd55832ec4bc	D_0__Archaea; D_1__Crenarchaeota; D_2__Verstraetearchaeia; D_3__Methanomethyliales; D_4__Methanomethyliaceae	0.6
d33828a44295e169c4d24b86e00848f3	D_0__Archaea; D_1__Crenarchaeota; D_2__Verstraetearchaeia; D_3__Methanomethyliales; D_4__Methanomethyliaceae; D_5__Candidatus Methanomethylicus	0.6
a28af57c0e7e43e231f7cf9db891964a	D_0__Archaea; D_1__Crenarchaeota; D_2__Verstraetearchaeia; D_3__Methanomethyliales; D_4__Methanomethyliaceae; D_5__Candidatus Methanomethylicus	0.6
c8c4017db1312b856ce9eefefb0e4ff8	D_0__Archaea; D_1__Crenarchaeota; D_2__Verstraetearchaeia; D_3__Methanomethyliales; D_4__Methanomethyliaceae; D_5__Candidatus Methanomethylicus	0.6
a9a7202498ec21e91c6ad0dd83db1ebd	D_0__Archaea; D_1__Crenarchaeota; D_2__Verstraetearchaeia; D_3__Methanomethyliales; D_4__Methanomethyliaceae; D_5__Candidatus Methanomethylicus	0.6
170efc755f5b4f64624ae63e03b6a0f5	D_0__Archaea; D_1__Diapherotrites; D_2__Micrarchaeia	1
77f2c481c8c0cbcb18e69248991e6189	D_0__Archaea; D_1__Euryarchaeota; D_2__Methanobacteria; D_3__Methanobacteriales; D_4__Methanobacteriaceae; D_5__Methanobacterium	1
300a0bb465e91e9bd169fb6540cb41c1	D_0__Archaea; D_1__Euryarchaeota; D_2__Methanobacteria; D_3__Methanobacteriales; D_4__Methanobacteriaceae; D_5__Methanobacterium	0.7
cc148ff8a08496f219ce3600fe74b38b	D_0__Archaea; D_1__Euryarchaeota; D_2__Methanobacteria; D_3__Methanobacteriales; D_4__Methanobacteriaceae; D_5__Methanobacterium; D_6__uncultured archaeon	0.6
78a93904024b683fc643190fc6346e25	D_0__Archaea; D_1__Euryarchaeota; D_2__Methanobacteria; D_3__Methanobacteriales; D_4__Methanobacteriaceae; D_5__Methanobacterium; D_6__uncultured archaeon	0.6
c98fbb8c2eeb02475fdfba33a9d9b3e2	D_0__Archaea; D_1__Euryarchaeota; D_2__Methanomicrobia; D_3__Methanosarcinales; D_4__Methanosarcinaceae; D_5__Methanosarcina	1
61b8df05d0c3a4ac5ab21a7b4a0fc9ff	D_0__Archaea; D_1__Euryarchaeota; D_2__Methanomicrobia; D_3__Methanosarcinales; D_4__Methanosarcinaceae; D_5__Methanosarcina	1
b6b488e14df83701e3a13184c72b747c	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Marine Group II; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon	1
5cf2f8a7197534bc1111826d9dbeadb3	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Marine Group II; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon	1
f564cd7a69a7e3229d9c62a5d90b3b32	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Methanomassiliicoccales; D_4__Methanomassiliicoccaceae; D_5__Methanomassiliicoccus	0.6
f9532aad52752fb3a020fde94269cf59	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Methanomassiliicoccales; D_4__Methanomassiliicoccaceae; D_5__Methanomassiliicoccus; D_6__uncultured archaeon	0.7
e3098ba6d28aa307918cad7c2b5ab1b6	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__Methanomassiliicoccales; D_4__uncultured; D_5__uncultured archaeon; D_6__uncultured archaeon	1
71130384e705d196c2ecb055d5841b3e	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__uncultured; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon	0.9
07e52ac809a6b1850a922910f3728099	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__uncultured; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon	0.9
76cabebe17369fac3cc18f98f0ca2d28	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__uncultured; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon	0.9
5e8730a32606658a23739f0e49aa283d	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__uncultured; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon	0.9
e7814ce12ce1fbf15694fc304edf7417	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__uncultured; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon	0.9
c639f4d51d39a0df26100d34ca205c87	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__uncultured; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon	0.8
fd05f80268ec00d69ee363d7c1c7402e	D_0__Archaea; D_1__Euryarchaeota; D_2__Thermoplasmata; D_3__uncultured; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon	0.8
