OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	N01	N02	N03	N04	N05	N06	N07	N08	N10	N11	N12	N13	N14	N15	N16	taxonomy
e810c19cb320d505c1b38aebc7c603d8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9682.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
1f9c853d573f11edcd700b55c27fd577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3107.0	5607.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
aca380d3d06d653c6296f75364e4e6fb	2136.0	12.0	2079.0	1087.0	0.0	0.0	7.0	0.0	5.0	1449.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
8f6a055a1c013500cdf2f661fd50f88f	959.0	1157.0	981.0	1344.0	0.0	138.0	110.0	0.0	0.0	1006.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
fbc2c4e9b4c5b98803a2270a930be88d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1969.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	3286.0	0.0	0.0	Unassigned
94e9b5802f0ef1caf66c039c8727db51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2370.0	0.0	0.0	0.0	2801.0	0.0	0.0	0.0	0.0	Unassigned
e2da0f81429e8a0cae888ec7e0fbbbdb	0.0	0.0	0.0	0.0	3160.0	18.0	15.0	257.0	657.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
792c4058300b01b7a55255650151f3a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4086.0	0.0	Unassigned
83cc21e44d76d209bd1c1b9d7964813c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3928.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
b732a2be2d6c3aaa8755b74eaf80267b	15.0	9.0	7.0	13.0	1196.0	787.0	761.0	380.0	329.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
